DBN,School Name,pct_female,pct_male,pct_asian,pct_black,pct_hispanic,pct_multi-racial,pct_native_american,pct_white,pct_disabilities,pct_eng_learners,pct_poverty,economic_need_index
01M015,P.S. 015 Roberto Clemente,50.3,49.7,10.1,23.3,56.6,4.8,0.5,4.8,23.3,12.7,86.2,87.5
01M020,P.S. 020 Anna Silver,51.1,48.9,15.8,15.0,58.2,2.9,1.3,6.8,16.6,31.3,85.8,85.6
01M034,P.S. 034 Franklin D. Roosevelt,45.2,54.8,2.3,37.3,56.2,0.0,0.9,3.2,26.3,18.0, 95,94.9
01M063,The STAR Academy - P.S.63,49.5,50.5,1.0,14.6,68.9,2.4,0.5,12.6,31.1,15.0,79.6,80.1
01M064,P.S. 064 Robert Simon,50.5,49.5,1.1,19.4,73.7,0.0,0.5,4.8,30.1,13.4,90.3,89.6
01M110,P.S. 110 Florence Nightingale,45.4,54.6,12.6,13.4,52.7,2.7,0.4,18.3,17.2,1.5,67.9,70.7
01M134,P.S. 134 Henrietta Szold,47.2,52.8,5.0,28.1,61.8,1.5,0.5,2.5,30.7,24.1, 95, 95
01M140,P.S. 140 Nathan Straus,46.7,53.3,1.4,15.0,79.5,0.5,0.0,3.0,32.0,28.7,94.5, 95
01M142,P.S. 142 Amalia Castro,47.2,52.8,0.5,16.6,77.6,1.1,1.6,2.6,30.1,15.8,95.0,92.3
01M184,P.S. 184m Shuang Wen,49.9,50.1,64.4,2.7,13.6,10.2,0.3,8.6,11.1,6.7,58.1,60.0
01M188,P.S. 188 The Island School,46.7,53.3,2.7,24.7,69.1,0.9,1.1,1.6,27.3,30.0, 95, 95
01M292,Orchard Collegiate Academy,51.1,48.9,15.2,22.1,56.9,0.0,1.1,4.7,24.6,5.1,86.2,88.6
01M315,The East Village Community School,49.5,50.5,8.5,8.5,39.1,9.5,0.4,34.0,27.1,4.0,47.6,51.2
01M332,University Neighborhood Middle School,48.5,51.5,3.1,22.7,66.9,1.8,0.6,4.9,37.4,16.6,92.0,93.6
01M361,The Children's Workshop School,47.3,52.7,6.9,7.9,39.4,8.5,1.3,36.0,18.3,14.5,55.5,55.5
01M363,Neighborhood School,49.6,50.0,6.2,11.1,36.7,7.5,2.2,36.3,27.0,0.9,45.6,53.0
01M364,Earth School,49.2,50.8,4.1,10.3,48.2,10.8,0.0,26.7,32.3,4.1,58.5,62.5
01M378,School for Global Leaders,45.5,54.5,10.7,16.3,64.0,1.1,1.1,6.7,30.3,35.4,93.3,92.0
01M448,University Neighborhood High School,47.2,52.6,29.6,14.5,47.2,0.8,0.0,8.0,17.8,6.9,81.3,78.2
01M450,East Side Community School,42.9,57.1,6.4,16.7,53.1,3.4,0.6,18.4,33.0,1.9,68.7,67.2
01M458,Forsyth Satellite Academy,55.6,44.4,3.0,30.8,59.8,0.6,0.0,5.9,39.1,10.1,87.0,89.6
01M515,Lower East Side Preparatory High School,42.4,57.6,29.3,7.8,60.4,0.2,0.0,2.2,8.9,67.8,90.2, 95
01M539,"New Explorations into Science, Technology and Math",50.8,49.2,38.1,4.6,10.2,10.2,0.3,36.0,12.6,0.6,25.6,27.9
01M650,Cascades High School,51.4,48.6,3.4,33.8,57.4,0.7,1.4,3.4,37.2,6.1,93.9,93.4
01M696,Bard High School Early College,62.3,37.7,18.8,16.9,21.9,3.8,0.2,36.4,15.3,0.5,45.5,45.1
01M839,Tompkins Square Middle School,51.2,48.8,9.1,16.8,53.0,2.1,0.3,18.6,34.8,3.4,67.7,72.1
02M001,P.S. 001 Alfred E. Smith,43.2,56.8,28.2,23.2,38.6,5.0,1.8,3.2,23.2,22.7,87.3,85.4
02M002,P.S. 002 Meyer London,45.5,54.5,47.9,15.6,29.9,0.3,0.7,5.6,31.6,24.0,92.4,88.8
02M003,P.S. 003 Charrette School,45.8,54.2,10.9,6.2,17.5,4.4,0.5,60.2,23.9,7.3,29.7,28.9
02M006,P.S. 006 Lillie D. Blake,51.8,48.2,16.4,1.3,11.6,6.7,0.2,63.7,16.9,3.2,10.1,9.3
02M011,P.S. 011: The Sarah J. Garnet Elementary School,47.8,52.2,15.2,6.9,30.9,5.5,0.3,41.2,11.9,12.8,36.5,42.2
02M033,P.S. 033 Chelsea Prep,49.0,51.0,17.9,14.1,40.5,6.8,1.0,19.7,15.1,22.2,58.7,60.2
02M040,P.S. 040 Augustus Saint-Gaudens,49.3,50.7,11.5,2.8,17.5,12.8,0.0,55.1,19.0,2.8,18.8,23.5
02M041,P.S. 041 Greenwich Village,47.7,52.3,7.4,1.9,12.4,14.5,0.2,63.7,16.0,2.5,9.0,9.3
02M042,P.S. 042 Benjamin Altman,46.5,53.5,71.0,3.7,9.5,3.9,0.2,11.7,26.6,20.3,67.3,61.5
02M047,47 The American Sign Language and English Secondar,62.6,37.4,3.5,14.0,76.0,1.2,1.2,4.1,28.7,7.0,84.2,85.6
02M051,P.S. 051 Elias Howe,46.8,53.2,8.4,11.9,60.3,2.6,0.9,15.9,20.0,33.6,75.0,72.7
02M059,P.S. 059 Beekman Hill International,46.2,53.8,24.0,3.3,7.5,5.8,0.6,58.7,12.5,8.3,11.3,11.4
02M077,P.S. 77 Lower Lab School,52.6,47.4,43.1,0.3,7.6,14.4,0.0,34.3,6.8,0.8,9.5,12.5
02M089,P.S. 89,50.9,49.1,19.4,1.2,12.4,17.0,0.3,49.7,18.2,5.2,7.6,10.8
02M104,J.H.S. 104 Simon Baruch,51.1,48.8,27.6,6.7,23.1,8.0,0.5,33.4,13.1,9.7,39.0,39.1
02M111,P.S. 111 Adolph S. Ochs,47.3,52.7,10.5,12.7,56.4,2.9,0.0,17.4,18.9,26.7,75.5,75.0
02M114,East Side Middle School,50.9,49.1,21.4,5.8,16.7,4.9,0.2,50.5,25.1,1.4,24.0,23.1
02M116,P.S. 116 Mary Lindley Murray,47.9,52.1,16.5,9.5,36.9,4.6,0.8,31.7,14.9,27.1,49.5,48.8
02M124,P.S. 124 Yung Wing,46.2,53.8,86.1,1.0,4.6,6.2,0.0,2.0,17.5,15.3,56.9,54.9
02M126,P.S. 126 Jacob August Riis,46.4,53.6,55.2,13.2,20.7,4.0,0.2,6.7,25.1,8.1,73.5,76.0
02M130,P.S. 130 Hernando De Soto,44.2,55.8,76.2,1.7,13.5,5.0,0.2,3.5,18.1,24.9,64.4,60.3
02M131,M.S. 131,45.7,54.3,47.8,7.9,37.8,1.0,0.3,4.8,34.4,32.6,92.1,87.4
02M135,The Urban Assembly School for Emergency Management,65.3,34.7,4.4,35.7,53.9,1.7,0.7,3.0,18.9,7.7,88.9,85.7
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,46.2,53.5,3.6,25.2,67.2,0.0,0.3,3.6,23.5,6.4,85.4,86.9
02M150,P.S. 150,53.2,46.8,28.2,4.8,16.5,10.1,0.4,39.9,14.5,4.4,23.4,19.5
02M151,Yorkville Community School,46.6,53.4,6.7,13.1,23.6,9.6,0.3,46.1,24.8,4.1,31.5,37.4
02M158,P.S. 158 Bayard Taylor,49.7,50.3,12.9,1.8,10.0,7.6,0.2,67.5,17.2,4.0,13.6,14.5
02M167,J.H.S. 167 Robert F. Wagner,51.8,48.2,17.0,6.0,18.9,5.7,0.2,52.0,15.9,8.2,29.8,29.9
02M177,Yorkville East Middle School,50.2,49.8,10.0,6.9,24.7,4.8,1.3,52.4,25.5,1.3,30.7,32.4
02M183,P.S. 183 Robert L. Stevenson,47.6,52.4,20.0,1.9,11.2,6.0,0.2,60.8,15.7,8.6,11.9,11.7
02M198,P.S. 198 Isador E. Ida Straus,48.9,51.1,13.7,6.7,29.9,5.5,1.6,42.5,20.7,8.2,40.9,42.2
02M212,P.S. 212 Midtown West,47.7,52.3,11.8,6.2,46.4,9.7,0.0,25.9,17.8,20.9,49.8,51.6
02M217,P.S./I.S. 217 Roosevelt Island,53.8,46.2,34.9,11.7,16.8,5.5,0.3,30.8,14.0,13.7,31.6,31.1
02M225,Ella Baker School,51.5,48.5,8.6,14.1,36.8,7.1,0.9,32.5,24.8,10.1,45.4,46.8
02M234,P.S. 234 Independence School,47.0,53.0,8.0,1.6,12.1,10.3,0.2,67.6,17.9,2.9,7.8,8.2
02M255,M.S. 255 Salk School of Science,48.2,51.8,31.7,2.4,10.6,8.4,0.5,46.3,20.6,1.1,23.6,22.8
02M260,The Clinton School,62.0,38.0,13.6,3.6,13.6,5.9,0.5,54.9,20.3,0.7,20.4,24.9
02M267,"East Side Elementary School, PS 267",50.3,49.7,17.6,3.3,14.6,6.0,0.0,58.5,17.0,8.2,16.2,14.8
02M276,Battery Park City School,49.9,50.0,21.4,4.2,23.5,9.4,0.0,41.5,17.3,11.9,22.2,21.6
02M280,Manhattan Early College School for Advertising,51.6,48.4,9.4,27.9,57.8,1.0,0.7,3.2,15.3,12.6,82.2,85.5
02M281,The River School,52.1,47.9,34.4,7.0,17.6,4.9,0.6,35.4,13.1,15.7,26.0,26.1
02M282,Urban Assembly Maker Academy,33.0,67.0,8.1,25.1,50.2,2.3,0.4,13.2,25.7,6.2,74.0,73.8
02M288,Food and Finance High School,57.1,42.9,2.9,33.8,58.4,0.4,0.7,3.6,24.9,4.2,82.2,80.4
02M289,I.S. 289,52.7,47.3,42.2,7.0,15.9,4.7,0.4,29.8,24.0,7.0,46.5,44.1
02M290,P.S. 290 Manhattan New School,46.4,53.4,13.7,1.6,13.0,10.7,0.7,60.3,15.8,4.4,13.9,11.3
02M294,Essex Street Academy,51.5,48.5,7.2,19.9,38.5,3.9,0.3,28.8,30.2,1.7,64.8,59.1
02M296,High School of Hospitality Management,63.9,36.1,2.5,26.2,68.3,0.5,1.0,1.0,25.2,10.4,91.1,92.1
02M297,M.S. 297,52.3,47.4,8.4,11.1,47.4,5.6,0.3,27.2,23.5,23.2,63.2,59.1
02M298,Pace High School,54.6,45.4,11.0,31.5,50.5,1.5,0.2,5.3,22.6,4.2,80.5,78.3
02M300,"Urban Assembly School of Design and Construction,",37.3,62.7,1.3,26.3,66.2,0.9,0.9,4.4,23.7,7.0,83.8,85.6
02M303,"Facing History School, The",48.7,51.3,1.4,23.5,72.9,0.4,0.0,1.4,24.5,13.4,90.3,91.7
02M305,"Urban Assembly Academy of Government and Law, The",59.5,40.1,12.7,33.7,47.6,1.2,1.2,3.6,17.1,6.7,84.9,86.5
02M308,Lower Manhattan Arts Academy,63.2,36.5,7.4,32.1,55.5,0.7,0.7,3.3,29.4,6.7,84.3,89.4
02M312,New York City Lab Middle School for Collaborative,46.5,53.5,45.9,3.1,14.7,6.7,0.0,28.9,21.6,3.6,38.5,38.8
02M313,"James Baldwin School, The: A School for Expedition",54.7,45.3,3.4,39.9,52.0,0.0,2.7,2.0,35.1,6.8, 95,94.3
02M316,"Urban Assembly School of Business for Young Women,",100.0,0.0,4.1,37.8,50.0,0.0,1.4,6.8,24.3,24.3,91.9,93.7
02M340,Sixth Avenue Elementary School,48.3,51.7,9.6,5.0,22.0,15.8,0.0,47.7,16.1,8.7,23.5,28.5
02M343,The Peck Slip School,52.6,47.4,10.2,6.3,36.6,10.7,0.0,36.1,14.3,22.0,32.5,38.4
02M347,The 47 American Sign Language & English Lower Scho,47.7,52.3,6.9,18.4,49.4,4.0,1.1,20.1,47.1,23.0,76.4,76.9
02M374,Gramercy Arts High School,71.3,28.5,5.4,28.5,51.1,2.4,0.4,11.6,18.4,1.8,76.4,74.6
02M376,NYC iSchool,53.7,46.3,8.9,14.5,35.6,4.3,0.4,34.0,25.5,1.6,54.6,54.5
02M391,District 2 Pre-K Center,45.4,54.6,24.8,8.0,17.5,1.7,0.0,47.9,14.3,0.0,21.6,26.8
02M392,Manhattan Business Academy,49.1,50.9,4.6,26.8,60.3,0.5,2.4,5.4,25.5,7.1,89.5,87.7
02M393,Business Of Sports School,28.8,71.2,2.3,33.6,60.1,0.7,0.2,2.6,25.8,7.9,85.4,88.1
02M394,Emma Lazarus High School,44.8,55.2,32.0,11.6,48.6,0.0,0.6,7.2,0.3,83.1,94.7, 95
02M395,A School Without Walls,53.3,46.7,7.4,39.3,28.1,5.9,0.0,17.0,28.9,2.2,71.1,68.9
02M397,Spruce Street School,51.8,48.2,24.6,6.0,15.8,11.2,0.0,42.4,17.0,6.5,19.6,24.3
02M399,The High School For Language And Diplomacy,58.2,41.8,8.2,26.2,50.8,1.6,1.6,9.0,15.6,14.8,74.6,82.3
02M400,High School for Environmental Studies,54.0,45.9,12.5,13.6,56.0,1.7,0.9,14.8,16.7,5.6,69.6,72.2
