dbn,school_name,Cohort Year,% Grads
01M292,ORCHARD COLLEGIATE ACADEMY,2020,93.3
01M292,ORCHARD COLLEGIATE ACADEMY,2020,93.3
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2020,96.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2020,96.8
01M450,EAST SIDE COMMUNITY SCHOOL,2020,94.7
01M450,EAST SIDE COMMUNITY SCHOOL,2020,94.7
01M458,FORSYTH SATELLITE ACADEMY,2020,32.0
01M458,FORSYTH SATELLITE ACADEMY,2020,30.0
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2020,46.7
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2020,43.3
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2020,99.4
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2020,99.4
01M650,CASCADES HIGH SCHOOL,2020,38.7
01M650,CASCADES HIGH SCHOOL,2020,38.7
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2020,97.0
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2020,94.7
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2020,100.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,2020,100.0
02M135,THE URBAN ASSEMBLY EARLY COLLEGE HIGH SCHOOL OF EMERGENCY MEDICINE,2020,96.6
02M135,THE URBAN ASSEMBLY EARLY COLLEGE HIGH SCHOOL OF EMERGENCY MEDICINE,2020,96.6
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,2020,84.4
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,2020,84.4
02M260,THE CLINTON SCHOOL,2020,99.2
02M260,THE CLINTON SCHOOL,2020,99.2
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,2020,86.7
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,2020,81.9
02M282,URBAN ASSEMBLY MAKER ACADEMY,2020,92.1
02M282,URBAN ASSEMBLY MAKER ACADEMY,2020,91.3
02M288,FOOD AND FINANCE HIGH SCHOOL,2020,92.1
02M288,FOOD AND FINANCE HIGH SCHOOL,2020,89.9
02M294,ESSEX STREET ACADEMY,2020,93.3
02M294,ESSEX STREET ACADEMY,2020,87.6
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2020,70.7
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2020,69.0
02M298,PACE HIGH SCHOOL,2020,85.7
02M298,PACE HIGH SCHOOL,2020,80.3
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",2020,92.8
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",2020,88.4
02M303,"FACING HISTORY SCHOOL, THE",2020,93.9
02M303,"FACING HISTORY SCHOOL, THE",2020,92.7
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",2020,87.9
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",2020,84.8
02M308,LOWER MANHATTAN ARTS ACADEMY,2020,82.9
02M308,LOWER MANHATTAN ARTS ACADEMY,2020,75.0
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",2020,39.2
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",2020,37.8
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",2020,76.9
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",2020,76.9
02M374,GRAMERCY ARTS HIGH SCHOOL,2020,96.3
02M374,GRAMERCY ARTS HIGH SCHOOL,2020,91.6
02M376,NYC ISCHOOL,2020,96.7
02M376,NYC ISCHOOL,2020,96.7
02M392,MANHATTAN BUSINESS ACADEMY,2020,91.4
02M392,MANHATTAN BUSINESS ACADEMY,2020,91.4
02M393,BUSINESS OF SPORTS SCHOOL,2020,84.6
02M393,BUSINESS OF SPORTS SCHOOL,2020,75.0
02M394,EMMA LAZARUS HIGH SCHOOL,2020,44.4
02M394,EMMA LAZARUS HIGH SCHOOL,2020,38.9
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2020,88.1
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2020,88.1
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2020,98.0
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2020,95.3
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2020,93.9
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2020,91.5
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2020,98.3
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2020,98.3
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2020,100.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2020,100.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2020,100.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2020,100.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2020,97.3
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2020,96.4
02M414,N.Y.C. MUSEUM SCHOOL,2020,100.0
02M414,N.Y.C. MUSEUM SCHOOL,2020,97.5
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2020,99.3
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2020,99.3
02M418,MILLENNIUM HIGH SCHOOL,2020,98.3
02M418,MILLENNIUM HIGH SCHOOL,2020,98.3
02M419,LANDMARK HIGH SCHOOL,2020,84.3
02M419,LANDMARK HIGH SCHOOL,2020,78.7
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2020,94.9
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2020,91.9
02M422,QUEST TO LEARN,2020,76.5
02M422,QUEST TO LEARN,2020,70.6
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,2020,91.4
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,2020,89.7
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,2020,90.3
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,2020,90.3
02M432,MURRAY HILL ACADEMY,2020,88.3
02M432,MURRAY HILL ACADEMY,2020,86.7
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,2020,83.0
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,2020,78.7
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,2020,85.3
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,2020,85.3
02M439,MANHATTAN VILLAGE ACADEMY,2020,98.3
02M439,MANHATTAN VILLAGE ACADEMY,2020,97.5
02M449,VANGUARD HIGH SCHOOL,2020,88.1
02M449,VANGUARD HIGH SCHOOL,2020,82.6
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2020,85.5
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2020,84.3
02M475,STUYVESANT HIGH SCHOOL,2020,98.5
02M475,STUYVESANT HIGH SCHOOL,2020,97.0
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2020,92.0
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2020,91.4
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2020,93.9
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2020,87.8
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,2020,100.0
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,2020,92.6
02M519,TALENT UNLIMITED HIGH SCHOOL,2020,92.5
02M519,TALENT UNLIMITED HIGH SCHOOL,2020,91.5
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2020,91.9
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2020,89.2
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,2020,90.7
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,2020,72.1
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2020,98.2
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2020,98.2
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,2020,96.8
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,2020,93.5
02M534,HARVEST COLLEGIATE HIGH SCHOOL,2020,84.8
02M534,HARVEST COLLEGIATE HIGH SCHOOL,2020,81.3
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2020,93.3
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2020,89.5
02M543,NEW DESIGN HIGH SCHOOL,2020,95.8
02M543,NEW DESIGN HIGH SCHOOL,2020,94.9
02M544,INDEPENDENCE HIGH SCHOOL,2020,35.1
02M544,INDEPENDENCE HIGH SCHOOL,2020,26.0
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2020,97.8
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2020,97.8
