"DBN","School.Name","pct_female","pct_male","pct_asian","pct_black","pct_hispanic","pct_multi.racial","pct_native_american","pct_white","pct_disabilities","pct_eng_learners","pct_poverty","economic_need_index","school_name","total_students","students_temp_housing","pct_temp_housing","students_residing_shelter","residing_dhs_shelter","residing_non_dhs_shelter","doubled_up"
"01M015","P.S. 015 Roberto Clemente",50.3,49.7,10.1,23.3,56.6,4.8,0.5,4.8,23.3,12.7,86.2,87.5,"P.S. 015 Roberto Clemente",192,"58",30.20833433,"31","19","12","27"
"01M020","P.S. 020 Anna Silver",51.1,48.9,15.8,15,58.2,2.9,1.3,6.8,16.6,31.3,85.8,85.6,"P.S. 020 Anna Silver",414,"164",39.61352706,"145","60","85","17"
"01M034","P.S. 034 Franklin D. Roosevelt",45.2,54.8,2.3,37.3,56.2,0,0.9,3.2,26.3,18,95,94.9,"P.S. 034 Franklin D. Roosevelt",233,"91",39.05579448,"64","48","16","27"
"01M063","The STAR Academy - P.S.63",49.5,50.5,1,14.6,68.9,2.4,0.5,12.6,31.1,15,79.6,80.1,"The STAR Academy - P.S.63",212,"55",25.9433955,"25","14","11","11"
"01M064","P.S. 064 Robert Simon",50.5,49.5,1.1,19.4,73.7,0,0.5,4.8,30.1,13.4,90.3,89.6,"P.S. 064 Robert Simon",184,"55",29.89130318,"36","27","9","14"
"01M110","P.S. 110 Florence Nightingale",45.4,54.6,12.6,13.4,52.7,2.7,0.4,18.3,17.2,1.5,67.9,70.7,"P.S. 110 Florence Nightingale",256,"28",10.9375,"12","s","s","14"
"01M134","P.S. 134 Henrietta Szold",47.2,52.8,5,28.1,61.8,1.5,0.5,2.5,30.7,24.1,95,95,"P.S. 134 Henrietta Szold",229,"110",48.03493321,"89","42","47","19"
"01M140","P.S. 140 Nathan Straus",46.7,53.3,1.4,15,79.5,0.5,0,3,32,28.7,94.5,95,"P.S. 140 Nathan Straus",386,"180",46.63212299,"140","65","75","36"
"01M142","P.S. 142 Amalia Castro",47.2,52.8,0.5,16.6,77.6,1.1,1.6,2.6,30.1,15.8,95,92.3,"P.S. 142 Amalia Castro",404,"120",29.70297039,"86","42","44","34"
"01M184","P.S. 184m Shuang Wen",49.9,50.1,64.4,2.7,13.6,10.2,0.3,8.6,11.1,6.7,58.1,60,"P.S. 184m Shuang Wen",741,"96",12.95546591,"11","s","s","85"
"01M188","P.S. 188 The Island School",46.7,53.3,2.7,24.7,69.1,0.9,1.1,1.6,27.3,30,95,95,"P.S. 188 The Island School",479,"259",54.07097936,"149","104","45","79"
"01M292","Orchard Collegiate Academy",51.1,48.9,15.2,22.1,56.9,0,1.1,4.7,24.6,5.1,86.2,88.6,"Orchard Collegiate Academy",281,"44",15.6583637,"18","6","12","22"
"01M315","The East Village Community School",49.5,50.5,8.5,8.5,39.1,9.5,0.4,34,27.1,4,47.6,51.2,"The East Village Community School",474,"29",6.11814335,"8","s","s","21"
"01M332","University Neighborhood Middle School",48.5,51.5,3.1,22.7,66.9,1.8,0.6,4.9,37.4,16.6,92,93.6,"University Neighborhood Middle School",182,"65",35.71428657,"43","15","28","18"
"01M361","The Children's Workshop School",47.3,52.7,6.9,7.9,39.4,8.5,1.3,36,18.3,14.5,55.5,55.5,"The Children's Workshop School",321,"69",21.49532735,"46","27","19","17"
"01M363","Neighborhood School",49.6,50,6.2,11.1,36.7,7.5,2.2,36.3,27,0.9,45.6,53,"Neighborhood School",228,"23",10.08771956,"7","s","s","14"
"01M364","Earth School",49.2,50.8,4.1,10.3,48.2,10.8,0,26.7,32.3,4.1,58.5,62.5,"Earth School",201,"23",11.44278571,"12","s","s","11"
"01M378","School for Global Leaders",45.5,54.5,10.7,16.3,64,1.1,1.1,6.7,30.3,35.4,93.3,92,"School for Global Leaders",177,"69",38.98304999,"32","22","10","10"
"01M448","University Neighborhood High School",47.2,52.6,29.6,14.5,47.2,0.8,0,8,17.8,6.9,81.3,78.2,"University Neighborhood High School",472,"30",6.35593235,"6","s","s","23"
"01M450","East Side Community School",42.9,57.1,6.4,16.7,53.1,3.4,0.6,18.4,33,1.9,68.7,67.2,"East Side Community School",704,"86",12.21590936,"23","11","12","62"
"01M458","Forsyth Satellite Academy",55.6,44.4,3,30.8,59.8,0.6,0,5.9,39.1,10.1,87,89.6,"Forsyth Satellite Academy",212,"39",18.39622706,"21","11","10","14"
"01M515","Lower East Side Preparatory High School",42.4,57.6,29.3,7.8,60.4,0.2,0,2.2,8.9,67.8,90.2,95,"Lower East Side Preparatory High School",577,"123",21.31715715,"69","40","29","37"
"01M539","New Explorations into Science, Technology and Math",50.8,49.2,38.1,4.6,10.2,10.2,0.3,36,12.6,0.6,25.6,27.9,"New Explorations into Science, Technology and Math",1624,"23",1.41625619,"s","s","s","16"
"01M650","Cascades High School",51.4,48.6,3.4,33.8,57.4,0.7,1.4,3.4,37.2,6.1,93.9,93.4,"Cascades High School",179,"23",12.84916252,"15","9","6","s"
"01M696","Bard High School Early College",62.3,37.7,18.8,16.9,21.9,3.8,0.2,36.4,15.3,0.5,45.5,45.1,"Bard High School Early College",547,"14",2.55941506,"s","s","s","11"
"01M839","Tompkins Square Middle School",51.2,48.8,9.1,16.8,53,2.1,0.3,18.6,34.8,3.4,67.7,72.1,"Tompkins Square Middle School",327,"30",9.17431191,"13","s","s","17"
"02M001","P.S. 001 Alfred E. Smith",43.2,56.8,28.2,23.2,38.6,5,1.8,3.2,23.2,22.7,87.3,85.4,"P.S. 001 Alfred E. Smith",246,"55",22.35772312,"53","32","21","s"
"02M002","P.S. 002 Meyer London",45.5,54.5,47.9,15.6,29.9,0.3,0.7,5.6,31.6,24,92.4,88.8,"P.S. 002 Meyer London",390,"111",28.46153975,"85","19","66","24"
"02M003","P.S. 003 Charrette School",45.8,54.2,10.9,6.2,17.5,4.4,0.5,60.2,23.9,7.3,29.7,28.9,"P.S. 003 Charrette School",567,"31",5.46737202,"20","6","14","8"
"02M006","P.S. 006 Lillie D. Blake",51.8,48.2,16.4,1.3,11.6,6.7,0.2,63.7,16.9,3.2,10.1,9.3,"P.S. 006 Lillie D. Blake",631,"16",2.53565777,"12","s","s","s"
"02M011","P.S. 011: The Sarah J. Garnet Elementary School",47.8,52.2,15.2,6.9,30.9,5.5,0.3,41.2,11.9,12.8,36.5,42.2,"P.S. 011: The Sarah J. Garnet Elementary School",744,"79",10.61827987,"73","21","52","6"
"02M033","P.S. 033 Chelsea Prep",49,51,17.9,14.1,40.5,6.8,1,19.7,15.1,22.2,58.7,60.2,"P.S. 033 Chelsea Prep",650,"182",28.00000012,"159","86","73","21"
"02M040","P.S. 040 Augustus Saint-Gaudens",49.3,50.7,11.5,2.8,17.5,12.8,0,55.1,19,2.8,18.8,23.5,"P.S. 040 Augustus Saint-Gaudens",546,"10",1.83150191,"6","s","s","s"
"02M041","P.S. 041 Greenwich Village",47.7,52.3,7.4,1.9,12.4,14.5,0.2,63.7,16,2.5,9,9.3,"P.S. 041 Greenwich Village",485,"12",2.4742268,"8","s","s","s"
"02M042","P.S. 042 Benjamin Altman",46.5,53.5,71,3.7,9.5,3.9,0.2,11.7,26.6,20.3,67.3,61.5,"P.S. 042 Benjamin Altman",500,"61",12.20000014,"45","19","26","15"
"02M047","47 The American Sign Language and English Secondar",62.6,37.4,3.5,14,76,1.2,1.2,4.1,28.7,7,84.2,85.6,"47 The American Sign Language and English Secondar",169,"11",6.50887564,"s","s","s","6"
"02M051","P.S. 051 Elias Howe",46.8,53.2,8.4,11.9,60.3,2.6,0.9,15.9,20,33.6,75,72.7,"P.S. 051 Elias Howe",573,"284",49.56369996,"258","145","113","16"
"02M059","P.S. 059 Beekman Hill International",46.2,53.8,24,3.3,7.5,5.8,0.6,58.7,12.5,8.3,11.3,11.4,"P.S. 059 Beekman Hill International",593,"11",1.85497478,"s","s","s","s"
"02M089","P.S. 89",50.9,49.1,19.4,1.2,12.4,17,0.3,49.7,18.2,5.2,7.6,10.8,"P.S. 89",342,"14",4.09356728,"13","s","s","s"
"02M104","J.H.S. 104 Simon Baruch",51.1,48.8,27.6,6.7,23.1,8,0.5,33.4,13.1,9.7,39,39.1,"J.H.S. 104 Simon Baruch",1012,"131",12.94466406,"95","60","35","20"
"02M111","P.S. 111 Adolph S. Ochs",47.3,52.7,10.5,12.7,56.4,2.9,0,17.4,18.9,26.7,75.5,75,"P.S. 111 Adolph S. Ochs",428,"171",39.95327055,"159","113","46","9"
"02M116","P.S. 116 Mary Lindley Murray",47.9,52.1,16.5,9.5,36.9,4.6,0.8,31.7,14.9,27.1,49.5,48.8,"P.S. 116 Mary Lindley Murray",428,"166",38.78504634,"161","111","50","s"
"02M124","P.S. 124 Yung Wing",46.2,53.8,86.1,1,4.6,6.2,0,2,17.5,15.3,56.9,54.9,"P.S. 124 Yung Wing",497,"9",1.8108651,"s","s","s","s"
"02M126","P.S. 126 Jacob August Riis",46.4,53.6,55.2,13.2,20.7,4,0.2,6.7,25.1,8.1,73.5,76,"P.S. 126 Jacob August Riis",608,"118",19.40789521,"40","16","24","71"
"02M130","P.S. 130 Hernando De Soto",44.2,55.8,76.2,1.7,13.5,5,0.2,3.5,18.1,24.9,64.4,60.3,"P.S. 130 Hernando De Soto",599,"74",12.35392317,"73","60","13","s"
"02M131","M.S. 131",45.7,54.3,47.8,7.9,37.8,1,0.3,4.8,34.4,32.6,92.1,87.4,"M.S. 131",302,"72",23.84105921,"55","40","15","16"
"02M135","The Urban Assembly School for Emergency Management",65.3,34.7,4.4,35.7,53.9,1.7,0.7,3,18.9,7.7,88.9,85.7,"The Urban Assembly School for Emergency Management",292,"62",21.23287618,"39","9","30","19"
"02M139","Stephen T. Mather Building Arts & Craftsmanship Hi",46.2,53.5,3.6,25.2,67.2,0,0.3,3.6,23.5,6.4,85.4,86.9,"Stephen T. Mather Building Arts & Craftsmanship Hi",352,"29",8.2386367,"11","s","s","17"
"02M150","P.S. 150",53.2,46.8,28.2,4.8,16.5,10.1,0.4,39.9,14.5,4.4,23.4,19.5,"P.S. 150",248,"10",4.03225794,"s","s","s","s"
"02M151","Yorkville Community School",46.6,53.4,6.7,13.1,23.6,9.6,0.3,46.1,24.8,4.1,31.5,37.4,"Yorkville Community School",378,"12",3.17460336,"6","s","s","6"
"02M158","P.S. 158 Bayard Taylor",49.7,50.3,12.9,1.8,10,7.6,0.2,67.5,17.2,4,13.6,14.5,"P.S. 158 Bayard Taylor",632,"12",1.89873409,"s","s","s","s"
"02M167","J.H.S. 167 Robert F. Wagner",51.8,48.2,17,6,18.9,5.7,0.2,52,15.9,8.2,29.8,29.9,"J.H.S. 167 Robert F. Wagner",1022,"64",6.26223087,"39","27","12","20"
"02M177","Yorkville East Middle School",50.2,49.8,10,6.9,24.7,4.8,1.3,52.4,25.5,1.3,30.7,32.4,"Yorkville East Middle School",235,"11",4.6808511,"s","s","s","8"
"02M183","P.S. 183 Robert L. Stevenson",47.6,52.4,20,1.9,11.2,6,0.2,60.8,15.7,8.6,11.9,11.7,"P.S. 183 Robert L. Stevenson",562,"19",3.3807829,"17","s","s","s"
"02M198","P.S. 198 Isador E. Ida Straus",48.9,51.1,13.7,6.7,29.9,5.5,1.6,42.5,20.7,8.2,40.9,42.2,"P.S. 198 Isador E. Ida Straus",544,"63",11.58088222,"47","9","38","10"
"02M212","P.S. 212 Midtown West",47.7,52.3,11.8,6.2,46.4,9.7,0,25.9,17.8,20.9,49.8,51.6,"P.S. 212 Midtown West",363,"114",31.40496016,"108","40","68","s"
"02M217","P.S./I.S. 217 Roosevelt Island",53.8,46.2,34.9,11.7,16.8,5.5,0.3,30.8,14,13.7,31.6,31.1,"P.S./I.S. 217 Roosevelt Island",719,"14",1.94714889,"7","s","s","s"
"02M225","Ella Baker School",51.5,48.5,8.6,14.1,36.8,7.1,0.9,32.5,24.8,10.1,45.4,46.8,"Ella Baker School",339,"23",6.78466111,"12","s","s","11"
"02M255","M.S. 255 Salk School of Science",48.2,51.8,31.7,2.4,10.6,8.4,0.5,46.3,20.6,1.1,23.6,22.8,"M.S. 255 Salk School of Science",374,"6",1.60427801,"s","s","s","s"
